text	category	priority
বনভোজনের জন্য পারমিশন দরকার	Administration	Low
ল্যাব রিপোর্ট চেক করা হয়নি এখনো	Academic	Low
ভেকটিমাইজেশন বা র‍্যাগিং এর অভিযোগ জানাতে চাই	Security	Critical
কালকে কি কলেজ ছুটি?	General	Low
পার্কিং লটে জায়গা পাওয়া যাচ্ছে না	Transport	Low
হোস্টেলের কার্ফু টাইম বাড়াতে হবে	Facilities	Medium
এনভায়রনমেন্টাল স্টাডিজের প্রজেক্ট টপিক কি?	Academic	Low
মাইগ্রেশন সার্টিফিকেট কত দিনে পাব?	Administration	Medium
স্কলারশিপের টাকা ব্যাংকে ক্রেডিট হয়নি	Finance	High
ভাইভা পরীক্ষার জন্য কোন ঘরে যেতে হবে?	Examination	Medium
প্লেসমেন্ট সেলের ফোন নাম্বার দরকার	Placement	Medium
প্রিভিয়াস ইয়ার কোশ্চেন পেপার কোথায় পাব?	Academic	Medium
স্টুডেন্ট পোর্টাল বারবার ক্র্যাশ করছে	Software	High
ল্যাবের ইনস্ট্রুমেন্ট কাজ করছে না	Academic	Medium
রেজাল্টে 'অ্যাবসেন্ট' দেখাচ্ছে কিন্তু আমি পরীক্ষা দিয়েছি	Examination	Critical
ফি স্ট্রাকচার হঠাৎ বদলে গেছে	Finance	High
বোনাস মার্কস কেন দেওয়া হয়নি?	Examination	Medium
সেমিনার রেজিস্ট্রেশন ফুল হয়ে গেছে	Academic	Low
ল্যাবের জন্য আলাদা ড্রেস কোড আছে কি?	Administration	Low
প্রোজেক্ট পার্টনার খুঁজে পাচ্ছি না	Academic	Low
ইন্টার্নশিপের জন্য এনওসি দরকার	Placement	Medium
ওয়েবসাইটে নোটিফিকেশন আপডেট হচ্ছে না	Software	Medium
কলেজের ওয়াইফাই পাসওয়ার্ড কাজ করছে না	Network	Medium
হোস্টেলে খাবারের মেনু পরিবর্তন করতে হবে	Facilities	Low
স্কিল ডেভেলপমেন্ট কোর্সের ফিজ কত?	Finance	Low
ল্যাবে কেমিক্যাল শেষ হয়ে গেছে	Academic	Medium
প্রজেক্ট প্রেজেন্টেশনের জন্য পেনড্রাইভ নিচ্ছে না	Academic	Medium
আইডি কার্ডের চিপ কাজ করছে না	Administration	High
লাইব্রেরিতে বসার জায়গা নেই	Facilities	Low
জিম মেম্বারশিপের জন্য কোথায় কথা বলব?	Facilities	Low
ল্যাবের রেকর্ড বুক হারিয়ে গেছে	Academic	High
হোস্টেল ফিতে অতিরিক্ত চার্জ যোগ করা হয়েছে	Finance	Medium
সেমিস্টার ড্রপ আউট করতে চাই	Administration	High
রি-ইভালুয়েশনের জন্য কত টাকা লাগবে?	Finance	Medium
কলেজের ক্যান্টিনে অনলাইন পেমেন্ট নিচ্ছে না	Finance	Medium
ল্যাবের কম্পিউটার খুব স্লো	Infrastructure	Medium
কালকের ক্লাসের টাইম টেবিল চেঞ্জ হয়েছে কি?	Academic	Low
ক্লাসরুমে ফ্যান ঘুরছে না	Facilities	Low
প্লেসমেন্ট ইন্টারভিউয়ের ড্রেস কোড কি?	Placement	Medium
কোডিং টেস্টের লিংক ওপেন হচ্ছে না	Placement	High
রিজ্যুমে বিল্ডার সফটওয়্যার কাজ করছে না	Placement	Medium
টেকনিক্যাল রাউন্ডে কি কি প্রশ্ন আসতে পারে?	Placement	Low
এটিটিউড টেস্টের সিলেবাস কি?	Placement	Low
গ্রুপ ডিসকাশনের জন্য টপিক দরকার	Placement	Low
হোস্টেলের গেট বন্ধ করার সময় কত?	Facilities	Medium
স্টুডেন্ট কার্ডে টাকা রিচার্জ হচ্ছে না	Finance	Medium
সেমিস্টারের বই এখনো দোকানে আসেনি	Academic	Medium
রেজাল্ট রিভিউ করার অপশন কোথায়?	Examination	Medium
অ্যাটেনডেন্স কম থাকার জন্য ফাইন দিতে হচ্ছে	Finance	High
কলেজের অ্যাপ আপডেট হচ্ছে না	Software	Medium
প্রজেক্টের হার্ডকপি কোথায় জমা দেব?	Academic	Medium
হোস্টেলে নতুন মেট দরকার	Facilities	Low
ল্যাবে এসি থেকে জল পড়ছে	Facilities	Medium
অফ-ক্যাম্পাস প্লেসমেন্টের জন্য হেল্প দরকার	Placement	Medium
কনভোকেশন ফর্ম কিভাবে ফিলাপ করব?	Administration	Low
ইআরপি পোর্টালে ডাটা দেখাচ্ছে না	Software	High
কলেজের মেইন গেট বন্ধ কেন?	General	Medium
ফেস্টের পাসের জন্য কোথায় যোগাযোগ করব?	Events	Medium
টেক ফেস্টের রেজিস্ট্রেশন লিংক কাজ করছে না	Events	High
কালচারাল ক্লাবের অডিশন কবে হবে?	Events	Low
কলেজের বাসে খুব ভিড় হচ্ছে, সিট পাচ্ছি না	Transport	Medium
বাস পাসের মেয়াদ শেষ হয়ে গেছে	Transport	Medium
অ্যালামনাই মিটের ইনভাইটেশন পাইনি	Events	Medium
সমাবর্তনের গাউন সাইজ ফিট হচ্ছে না	Events	Low
ডিগ্রির অরিজিনাল সার্টিফিকেট কবে পাব?	Administration	High
ক্যারেক্টার সার্টিফিকেটের জন্য অ্যাপ্লিকেশন দিয়েছি	Administration	Medium
বোনাফাইড সার্টিফিকেট আজই দরকার	Administration	High
এডুকেশন লোনের জন্য কলেজের স্ট্যাম্প লাগবে	Finance	High
সেমিস্টার ফি দুবার কেটে নিয়েছে	Finance	Critical
লেট ফাইন মকুব করার জন্য কার কাছে যাব?	Finance	Medium
রিফান্ড পলিসি কোথায় লেখা আছে?	Finance	Low
ক্যান্টিনে ইউপিআই স্ক্যানার কাজ করছে না	Facilities	Medium
text	category	priority
Campus surveillance covers only entry gate	Infrastructure	High
CGPA shown on portal does not match marksheet	Academics	High
No provision for online viva for outstation students	Academics	Medium
Sick room in hostel has no basic medicines	Health	High
ক্যাম্পাসে অ্যাম্বুলেন্স সেবা নেই	Health	High
Campus map is outdated on official website	Administration	Low
No process to appeal internal assessment marks	Academics	High
Door lock in room 214 is broken	Hostel	High
Photocopy machine in admin block always broken	Administration	Low
No mechanism to dispute transport fee charges	Finance	Medium
No option for students to evaluate course curriculum	Academics	Low
Water supply in campus is irregular throughout the day	Infrastructure	High
No study hall open during weekends	Library	Medium
Classroom ventilation is poor in summer months	Infrastructure	Medium
Language lab software is not updated	Academics	Medium
Internal marks not visible on student portal	Academics	High
Student login credentials not given on time	Administration	High
Lab hazard warning signs are missing	Infrastructure	High
No pick up point near the new hostel extension	Transport	Medium
Elective subject registration portal keeps failing	Academics	High
Anti-ragging committee contact not displayed anywhere	Administration	High
হোস্টেলে চুরির ঘটনা ঘটেছে নিরাপত্তা নেই	Hostel	High
Competitive exam coaching not available on campus	Academics	Medium
No provision for late night study in campus	Library	Medium
परीक्षा हॉल में पेयजल का प्रबंध नहीं है	Infrastructure	High
No arrangement for online classes during floods	Academics	High
कैंपस में घास-पत्ती जलाई जाती है जिससे प्रदूषण है	Environment	Medium
No seminar participation certificate issued	Academics	Low
हॉस्टल में कपड़े सूखाने की जगह नहीं है	Hostel	Low
College does not conduct surprise safety inspections	Administration	Medium
ব্যাকলগ পরীক্ষার সময়সূচি জানানো হয়নি	Academics	High
Course completion percentage wrong in portal	Academics	High
Placement drive companies are below expectation	Placement	High
Student bus pass renewal takes more than 2 weeks	Transport	Medium
No bus available on exam Saturdays	Transport	High
Mess does not accommodate fasting students in Ramadan	Hostel	Medium
No provision for grace attendance in medical emergencies	Academics	High
Hostel water purifier has not been serviced	Hostel	High
हॉस्टल के बाथरूम में दर्पण नहीं है	Hostel	Low
Hostel room does not have enough electrical sockets	Hostel	Low
Examination branch overcharges for duplicate marksheet	Finance	Medium
Assignment word limit changed after submission	Academics	Medium
Classroom whiteboard markers are never available	Infrastructure	Low
ফি জমার সময়সীমা অনেক কম দেওয়া হয়েছে	Finance	High
परीक्षा शुल्क जमा करने के बाद रसीद नहीं दी गई	Finance	High
Parking area is not allocated for two-wheelers	Infrastructure	Low
बोर्ड ऑफ स्टडीज में छात्र प्रतिनिधि नहीं	Administration	Medium
Principal not accessible to students for complaints	Administration	High
मेस में ताजा फल कभी नहीं मिलते	Hostel	Low
No peer review system for student projects	Academics	Low
Mess closes 15 minutes before announced time	Hostel	Medium
No digital board for job openings in department	Placement	Medium
No clear policy on academic probation for students	Administration	High
Elevator in academic building is out of order	Infrastructure	Medium
रात में हॉस्टल के बाहर रोशनी नहीं है	Infrastructure	High
Annual day event not organized for two years	Extracurricular	Low
परीक्षा का परिणाम पोर्टल पर नहीं दिखता	Academics	High
Exam invigilator was using phone during exam	Academics	High
ऑनलाइन पोर्टल में नाम बदलने का विकल्प नहीं	Administration	Medium
परियोजना प्रस्तुति के लिए पर्याप्त समय नहीं दिया जाता	Academics	Medium
Alumni mentorship program is inactive this year	Placement	Medium
হোস্টেলে কোনো ইনডোর গেম সুবিধা নেই	Extracurricular	Low
Thesis binding service on campus is overpriced	Finance	Low
ছাত্রাবাসে নতুন কম্বল দেওয়া হয়নি শীতে	Hostel	Medium
No special classes for students who failed mid-term	Academics	Medium
প্লেসমেন্টের জন্য যোগ্যতার মানদণ্ড জানানো হয়নি	Placement	High
फीस जमा करने पर रसीद नहीं मिली	Finance	High
Night canteen inside hostel has been shut down	Hostel	Low
ফি জমার রসিদ অনলাইনে পাওয়া যাচ্ছে না	Finance	High
पुस्तकालय की वेबसाइट पर पुस्तक खोज का विकल्प नहीं	Library	Medium
No provision for vegetarian students at dinner	Hostel	Medium
লাইব্রেরিতে বসার চেয়ার ভাঙা	Library	Medium
Department library hours conflict with regular schedule	Library	Medium
মেস টাইমিং পরিবর্তন করা হয়েছে কিন্তু জানানো হয়নি	Hostel	Medium
कैंटीन में खाना बनाते समय सफाई का ध्यान नहीं रखा जाता	Health	High
Dissertation guide does not respond to emails	Academics	High
Hostel students not informed about water tank cleaning	Hostel	Medium
No summer school program offered by college	Academics	Low
ফি জমা করার পরেও পোর্টালে আপডেট হয়নি	Finance	High
College fails to send recommendation letters on time	Administration	High
No tutorial support available for difficult subjects	Academics	Medium
Food allergy options not available in mess	Hostel	High
छात्र को बिना जानकारी दिए कक्षा से निकाला गया	Academics	High
Lab assignment marks not reflected in portal	Academics	High
Duplicate marksheet request pending for 2 months	Administration	High
No water supply in canteen washrooms	Infrastructure	High
Mess smart card is not rechargeable online	Finance	Medium
क्लास में प्रोजेक्टर की रोशनी कम है	Infrastructure	Medium
Lab equipment booking dates conflict with exam timetable	Academics	Medium
ক্লাবের কার্যক্রমের জন্য ঘর বরাদ্দ নেই	Extracurricular	Low
Resume shortlisting process is not transparent	Placement	High
College stationery shop always runs out of stock	Infrastructure	Low
Exam fee structure not mentioned in prospectus	Finance	Medium
परीक्षा हॉल में बैठने की व्यवस्था ठीक नहीं है	Academics	High
शिक्षकों के विरुद्ध शिकायत का कोई तंत्र नहीं है	Administration	High
रात को मेस बंद होने पर कोई विकल्प नहीं	Hostel	Medium
फीस पोर्टल पर रसीद डाउनलोड नहीं होती	Finance	High
প্রতিযোগিতামূলক পরীক্ষার কোচিং নেই কলেজে	Academics	Medium
Teaching plan not submitted by faculty to HoD	Academics	Medium
Syllabus revision process does not involve students	Academics	Low
Mock placement tests are not being organized	Academics	Medium
हॉस्टल में नाश्ता बहुत देर से मिलता है	Hostel	Low
परीक्षा केंद्र में कुर्सियाँ टूटी हुई थीं	Infrastructure	High
Library does not subscribe to any research databases	Library	High
No student welfare fund for emergency situations	Finance	High
Mess serves same food repeatedly every week	Hostel	Medium
Grade card has wrong subject codes	Academics	High
No summer research fellowship provided by department	Academics	Medium
Assignment deadline is too short to complete properly	Academics	Medium
রাতে ক্যাম্পাসে নিরাপত্তা কম	Infrastructure	High
No option to swap hostel rooms after allotment	Hostel	Low
No mentoring for first-generation learners	Academics	High
Placement eligibility criteria changed mid year	Placement	High
College dispensary has no doctor on weekends	Health	High
कैंपस में शाम को कोई सुरक्षा नहीं होती	Infrastructure	High
क्लब की गतिविधियों के लिए कोई बजट नहीं है	Extracurricular	Low
प्लेसमेंट परीक्षा का परिणाम आज तक घोषित नहीं हुआ	Placement	High
No noise barrier between hostel and construction site	Hostel	High
No centralized lost and found desk on campus	Administration	Low
গবেষণাগারে কোনো প্রশিক্ষিত ল্যাব অ্যাসিস্ট্যান্ট নেই	Academics	High
Practical exam evaluator was unfair in marking	Academics	High
College entrance gate camera footage not shared with police	Administration	High
শিক্ষার্থীদের ফিডব্যাক নেওয়া হয় না	Administration	Medium
Projector remote is always missing in room 203	Infrastructure	Low
Exam admit card has wrong photo uploaded	Academics	High
ছাত্রাবাস থেকে কলেজ যাওয়ার কোনো বাস নেই	Transport	High
छात्रों को नोटिस पोर्टल पर नहीं मिलता	Administration	Medium
Hostel kitchen is closed for students on weekends	Hostel	Low
Campus water supply has bad odor	Infrastructure	High
Placement cell does not share off-campus drives	Placement	High
Placement offer letter portal is not accessible	Placement	High
Fee receipt not generated after online payment	Finance	High
Room mate issue not handled by hostel admin	Hostel	Medium
No bus available from railway station to college	Transport	Medium
Medical certificate not accepted for exam absence	Health	High
Canteen does not accept split payments	Finance	Low
फिनल ईयर प्रोजेक्ट के लिए गाइड नहीं मिल रहा	Academics	High
छात्रावास में खेल सुविधाएं पूरी तरह बंद हैं	Extracurricular	Low
Student portal crashes during fee payment	Finance	High
हॉस्टल में सोलर पैनल से पानी गर्म नहीं होता	Hostel	Medium
Faculty meeting held during scheduled class hours	Academics	Medium
No bridge course offered for lateral entry students	Academics	Medium
No book bank facility available for poor students	Library	High
No proper arrangement for students with vision impairment	Academics	High
Hostel mess bill charged without itemized receipt	Finance	Medium
রেজাল্টে গ্রেড ভুল হিসাব করা হয়েছে	Academics	High
Library books are damaged and pages are missing	Library	Medium
Students not allowed to audit courses from other depts	Academics	Medium
Bus does not wait for students during exam time	Transport	High
छात्रों की शिकायत का कोई लिखित जवाब नहीं मिलता	Administration	High
College website is not mobile-friendly	Administration	Low
कोर्स पूरा होने पर भी सर्टिफिकेट नहीं मिला	Academics	High
মেস কর্মীর আচরণ ছাত্রছাত্রীদের সাথে ভালো নয়	Hostel	Medium
No psychological counselor available during exams	Health	High
Classroom doors are always stuck and hard to open	Infrastructure	Low
No provision for voice amplification in large classrooms	Infrastructure	Medium
कोर्स फीडबैक फॉर्म भरना अनिवार्य नहीं है इसलिए कोई नहीं भरता	Academics	Low
No online complaint status tracking system	Administration	High
Research lab access not given to UG students	Academics	Medium
No online submission portal for internship report	Placement	Medium
No post-placement support for joining formalities	Placement	Medium
গবেষণাগারে রাসায়নিক দ্রব্য মেয়াদ উত্তীর্ণ	Academics	High
বৃত্তির টাকা ভুল ব্যাংক অ্যাকাউন্টে গেছে	Finance	High
हॉस्टल की छत से पानी टपकता है	Hostel	High
No system to return unused exam answer sheets	Academics	Low
Library fine receipt not issued after payment	Finance	Low
No backup lecturer arrangement for sabbatical faculty	Academics	High
स्टूडेंट पोर्टल पर लॉगिन नहीं हो पाता	Administration	High
No inter-department sports competition organized	Extracurricular	Low
পার্কিং এলাকায় অপর্যাপ্ত জায়গা	Infrastructure	Low
No provision for students to check own answer scripts	Academics	Medium
Viva examiners are biased towards certain students	Academics	High
No proper protocol when a student goes missing	Administration	High
No inter-college quiz participation opportunity	Extracurricular	Low
बस कंडक्टर का व्यवहार ठीक नहीं है	Transport	Medium
Library does not allow access to students with dues	Library	Medium
Lab report submission through email not accepted	Academics	Low
Mobile network is very weak inside academic block	Infrastructure	Medium
No certification offered for extracurricular excellence	Extracurricular	Low
NPTEL certificate not mapped to student profile	Academics	Medium
ক্যান্টিনে নগদ ছাড়া পেমেন্ট হচ্ছে না	Finance	Medium
No provision for storing bicycles on campus	Infrastructure	Low
Roof leaks in department 4 during monsoon	Infrastructure	High
No formal mechanism for interdepartmental complaints	Administration	High
No guest house for visiting parents on campus	Infrastructure	Low
New students not informed about bus route changes	Transport	Medium
Campus cafe prices are unaffordable for rural students	Finance	Medium
Scholarship not renewed despite eligible application	Finance	High
Teachers sharing exam solutions on personal websites	Academics	Medium
पुस्तकालय में ई-रिसोर्सेज एक्सेस नहीं मिलती	Library	High
प्रोफेसर परीक्षा में व्यक्तिगत पसंद-नापसंद के आधार पर अंक देते हैं	Academics	High
Hostel room allocation not done by choice	Hostel	Medium
ছাত্র সংসদের নির্বাচন দুই বছর ধরে হচ্ছে না	Extracurricular	Medium
पीएचडी दाखिले की प्रक्रिया अस्पष्ट है	Academics	Medium
Teacher does not allow asking questions in class	Academics	Medium
Course dropped without student notification	Academics	High
প্রধান ফটকে নিরাপত্তারক্ষী থাকেন না রাতে	Infrastructure	High
हॉस्टल में गर्म पानी की सुविधा नहीं है	Hostel	High
GD topics are not relevant to current industry	Placement	Medium
ऑनलाइन परीक्षा के दौरान नेटवर्क बहुत धीमा था	Infrastructure	High
Insufficient lockers for students in academic block	Infrastructure	Low
कैंपस में कहीं पीने का पानी नहीं है	Infrastructure	High
ডিজিটাল ক্লাসরুমে ইন্টারনেট সংযোগ নেই	Infrastructure	High
स्कॉलरशिप की राशि छोटी होती है जरूरत से	Finance	Medium
শিক্ষার্থীর শারীরিক অসুস্থতায় কলেজ কোনো সহায়তা করেনি	Health	High
Campus ATM machine is out of service frequently	Infrastructure	Medium
Night warden contact number always unreachable	Hostel	High
হোস্টেলে শীতকালে কম্বল দেওয়া হয়নি	Hostel	High
লাইব্রেরিতে কোনো নতুন বই যোগ হয়নি	Library	Medium
परीक्षा में उत्तर पुस्तिका देर से मिली	Academics	Medium
हॉस्टल के पास निर्माण का शोर दिन-रात रहता है	Hostel	Medium
पिछले सेमेस्टर का रिजल्ट अभी तक नहीं आया	Academics	High
Thesis submission portal on library site is broken	Library	High
NSS coordinator not available on campus	Extracurricular	Low
No provision for night security escort within campus	Infrastructure	High
হোস্টেলের খাবারে পোকামাকড় পাওয়া গেছে	Hostel	High
Classroom chairs have no writing pad attachment	Infrastructure	Low
Supplementary exam date not communicated by department	Academics	High
Hostel room key lost and no replacement given in time	Hostel	High
Sports fee collected but no sports facility given	Finance	Medium
Subject teacher is absent more than half the semester	Academics	High
Campus bus overloaded every morning	Transport	High
कक्षा में छात्रों के बैठने की कोई पर्याप्त व्यवस्था नहीं	Infrastructure	Medium
हॉस्टल की दीवारों पर नमी है	Hostel	Medium
बाहरी परीक्षक ने अनुचित तरीके से नंबर काटे	Academics	High
হোস্টেল থেকে মেডিকেল লিভের আবেদন করা কঠিন	Health	High
Lab practical not conducted due to missing equipment	Academics	High
छात्रावास में कपड़े सुखाने की जगह नहीं है	Hostel	Low
No online resources for competitive exam preparation	Academics	Medium
শ্রেণিকক্ষের ফ্যান গরমে কাজ করছে না	Infrastructure	High
Education loan NOC not being issued by accounts	Finance	High
New lab equipment not demonstrated to students	Academics	Medium
Drainage system is blocked near the canteen	Infrastructure	Medium
কলেজের ফটোকপি শপ শুধু সকালে খোলে	Infrastructure	Medium
Air conditioning in computer lab overheats system	Infrastructure	Medium
Cafeteria near library does not serve hot food	Hostel	Low
Bus driver does not stop at all designated stops	Transport	Medium
फीस की किस्त विकल्प उपलब्ध नहीं है	Finance	High
Seminar registration link expires too quickly	Academics	Medium
No free stationery provided for examinations	Finance	Low
বছরের শেষে কোনো পুরস্কার প্রদান অনুষ্ঠান হয়নি	Extracurricular	Low
Campus lighting is very dim in the evening	Infrastructure	High
Hostel has no panic button for emergency situations	Hostel	High
ক্যান্টিনে মেয়াদোত্তীর্ণ খাবার বিক্রি হচ্ছে	Health	High
ক্যাম্পাসে ডাস্টবিন নেই পর্যাপ্ত	Environment	Medium
No solar panels despite campus green initiative	Infrastructure	Low
Mess menu has not changed for a semester	Hostel	Low
कैंपस की सड़कें टूटी हुई हैं और दुर्घटना का खतरा है	Infrastructure	High
পরীক্ষার ফর্ম ফিলাপের পোর্টাল স্লো	Academics	Medium
Photocopy of hall ticket not accepted as ID	Administration	Medium
Subject elective was changed without informing students	Academics	High
हॉस्टल के कमरे में कीड़े-मकोड़े आ रहे हैं	Hostel	Medium
कोई करियर मार्गदर्शन सेल नहीं है	Placement	Medium
Classroom benches are broken and uncomfortable	Infrastructure	Medium
No debate competition organized in two semesters	Extracurricular	Low
No formal sports coaching provided for campus teams	Extracurricular	Medium
ছাত্রাবাসের রান্নাঘর অব্যবহৃত অবস্থায় আছে	Hostel	Low
No solar-powered streetlights in campus	Environment	Low
No response from placement office to student queries	Placement	High
No proper induction training for new lab assistants	Academics	Medium
হোস্টেলে পর্যাপ্ত আলো নেই পড়াশোনার জন্য	Hostel	Medium
ক্যাম্পাসে পরিবেশ দূষণ বাড়ছে দিন দিন	Environment	Medium
No dedicated corner for LGBTQ support on campus	Administration	Medium
হোস্টেলে বিছানার চাদর নিয়মিত বদলানো হয় না	Hostel	Medium
No proper announcement for college holiday schedule	Administration	Medium
छात्रों को रात में कैंपस में नहीं रहने दिया जाता	Administration	Medium
ল্যাবে যন্ত্রপাতি ভাঙা এবং মেরামত হচ্ছে না	Academics	High
No exam invigilation schedule available to students	Academics	Low
পরীক্ষার দিন বাস আসে না	Transport	High
Internship diary not accepted in digital format	Placement	Low
Timetable clash between two mandatory subjects	Academics	High
হোস্টেলে রাতে জেনারেটর চলে না	Hostel	High
Sanitary napkin dispenser in girls washroom is broken	Health	Medium
बस में छात्रों के साथ कठोर व्यवहार होता है	Transport	High
Book return slot is broken at the library entrance	Library	Low
E-learning platform is slow and crashes during exams	Academics	High
মার্কশিটে বিষয়ের নাম ভুল লেখা হয়েছে	Academics	High
No dedicated room for differently-abled students	Infrastructure	High
Timetable released only 2 days before semester starts	Administration	Medium
নোটিশ বোর্ডে কোনো আপডেট নেই মাসের পর মাস	Administration	Low
विभागीय पुस्तकालय में मनमाने नियम हैं	Library	Medium
No makeup exam for medically absent students	Academics	High
Research funding disbursed months after approval	Finance	High
कैंपस में रात को असुरक्षित माहौल है	Infrastructure	High
Hostel intercom does not connect to warden room	Hostel	Medium
No option to convert audit course to credit course	Academics	Medium
No provision to submit hardcopy assignments by courier	Academics	Low
No student lounge area in academic block	Infrastructure	Low
No dedicated women's complaint cell	Administration	High
সেমিনার হলের প্রজেক্টর নষ্ট হয়ে আছে	Infrastructure	Medium
Library catalogue is not updated online	Library	Medium
No MOOC course credit transfer policy	Academics	Medium
No student-accessible grievance status tracker	Administration	High
No protocol for reporting sexual harassment	Administration	High
No formal protocol for mental health emergencies	Health	High
टॉयलेट की सफाई नियमित रूप से नहीं होती	Infrastructure	High
Placement shortlisting criteria not explained	Placement	High
ইন্টার্নশিপের জন্য কলেজ থেকে কোনো সহায়তা নেই	Placement	High
Office staff rude to first-year students	Administration	Medium
Hostel kitchen fire safety equipment not available	Hostel	High
Results announced without provisional marksheet	Academics	High
Overhead water tank has not been cleaned this year	Infrastructure	High
ক্যাম্পাসে পর্যাপ্ত পার্কিং নেই	Infrastructure	Low
Merit scholarship criteria changed mid year	Finance	High
No industrial visits organized this semester	Academics	Low
No holiday announced for local festivals	Administration	Low
College identity card is not accepted by banks	Administration	Medium
Library is closed on Saturdays now	Library	Medium
Thesis formatting guidelines are not available online	Academics	Medium
Campus bus schedule not synced with train timings	Transport	Medium
No freshers week organized for new students	Extracurricular	Low
গ্রন্থাগারের পুরনো বইগুলো নষ্ট হয়ে গেছে	Library	Medium
Student mobile number updated but OTP goes to old number	Administration	High
Student achievements not showcased on college website	Administration	Low
Bed mattress is thin and causing back pain	Hostel	Medium
Practical exam rescheduled 3 times without reason	Academics	High
Hostel warden does not respond to complaints	Hostel	High
Faculty attendance is not monitored by administration	Academics	High
Emergency contact number on campus website is wrong	Administration	High
No health insurance scheme for students	Health	Medium
পরীক্ষার হলে পানীয় জলের ব্যবস্থা নেই	Infrastructure	High
ভর্তি পরীক্ষার নম্বর অনলাইনে দেখা যাচ্ছে না	Academics	Medium
No provision for makeup lab practicals for absentees	Academics	Medium
No water body management plan near hostel block	Environment	Low
E-journal access is blocked from hostel wifi	Library	High
No proper signage in academic block for new students	Administration	Low
প্রজেক্ট গ্রুপে একজন ছাত্র সব কাজ করছে	Academics	Medium
Hostel notice board displays expired circulars	Hostel	Low
Lab deposit not refunded after course completion	Finance	Medium
Faculty email IDs not shared with students	Administration	Medium
Language barrier not addressed in multilingual batches	Academics	Medium
পরীক্ষার হলে পর্যাপ্ত আলো নেই	Infrastructure	High
হোস্টেলে বিদ্যুৎ বারবার যাওয়া আসা করছে	Hostel	High
स्नातक उपाधि प्रमाणपत्र में गलती है	Academics	High
Hostel rule book not given at time of admission	Hostel	Low
मेस में अचानक बंद हो जाती है शाम को	Hostel	Medium
Cultural fest budget was reduced without reason	Extracurricular	Low
No formal protocol when teacher is absent	Academics	Medium
Conference paper submission portal rejects valid PDFs	Academics	Medium
Student email system not working for days	Administration	High
हॉस्टल की चाय-कॉफी बहुत खराब गुणवत्ता की है	Hostel	Low
Campus app registration requires college mail but mail not issued yet	Administration	High
ফিরতি বাসের সময়সূচি ঠিক নেই	Transport	Medium
छात्रावास का मुख्य दरवाजा रात को खुला रहता है	Hostel	High
ইন্টারনাল মার্কস পোর্টালে আপলোড হয়নি	Academics	High
ক্যাম্পাসে সাপ দেখা গেছে কিন্তু কোনো ব্যবস্থা নেই	Infrastructure	High
हॉस्टल में पड़ोसी कमरे का शोर बहुत ज्यादा है	Hostel	Low
छात्रों की जरूरत के अनुसार पाठ्यक्रम नहीं बनाया जाता	Academics	Medium
ক্যান্টিনে মান নিয়ন্ত্রণ নেই	Hostel	High
College bus breaks down frequently on the route	Transport	High
Smart board in room 301 does not connect to laptop	Infrastructure	Medium
Practical sessions are conducted without any preparation	Academics	High
Internal marks are given based on personal bias	Academics	High
Smart class content not accessible offline	Academics	Medium
डिजिटल नोटिस बोर्ड काम नहीं करता	Administration	Medium
No ramps for physically challenged students	Infrastructure	High
Student union office has no official powers	Administration	Medium
Continuous assessment marks not updated on portal	Academics	Medium
Transfer certificate fee is higher than mentioned	Finance	Medium
No data analytics course available in curriculum	Academics	High
পরীক্ষার হলে পর্যাপ্ত পেন দেওয়া হয়নি	Academics	Medium
हॉस्टल में वाशिंग मशीन खराब है	Hostel	Medium
Exam invigilator was absent and hall was unsupervised	Academics	High
Placement cell charges service fee not mentioned earlier	Placement	High
No support for students with learning disabilities	Academics	High
Bus route does not include city hospital stop	Transport	Medium
Teacher uses personal WhatsApp group instead of LMS	Academics	Low
प्रोजेक्ट जमा करने की प्रक्रिया स्पष्ट नहीं है	Academics	Medium
Exam result correction takes more than 6 months	Academics	High
No student representation on canteen committee	Hostel	Low
No written intimation for change in evaluation scheme	Academics	High
Guest lecturer sessions are not recorded for reference	Academics	Low
Parents not informed about student medical emergency	Health	High
Retotalling request not processed within time limit	Academics	High
বার্ষিক মিলাদ বা অনুষ্ঠানের জন্য অনুমতি পাওয়া কঠিন	Administration	Low
हॉस्टल में इंटरनेट शाम के बाद बंद हो जाता है	Infrastructure	High
लाइब्रेरी में नई किताबें नहीं आई इस साल	Library	Medium
Water logging in hostel ground floor after rain	Hostel	Medium
Online portal shows wrong department for student	Administration	Medium
Exam results have errors in student registration numbers	Academics	High
No collaboration with industry for live projects	Academics	Medium
प्रवेश पोर्टल बार-बार बंद होता है	Administration	High
হোস্টেলের শৌচাগার মেরামত করা হয়নি মাসের পর মাস	Hostel	High
Aptitude training not conducted for final year	Placement	High
Campus internet speed is insufficient for research work	Infrastructure	High
No access to premium job portals for students	Placement	Medium
No LinkedIn workshop conducted for students	Placement	Low
কম্পিউটার ল্যাবের সফটওয়্যার লাইসেন্স শেষ হয়ে গেছে	Academics	High
क्लास के बाहर शिक्षक से मिलने का समय निश्चित नहीं	Academics	Medium
स्नातक समारोह की तारीख अचानक बदल दी गई	Administration	Medium
Refund for cancelled event not processed yet	Finance	Medium
Bus leaves 10 minutes before scheduled time	Transport	High
Hostel wifi is only available in common area	Hostel	Medium
Dissertation format guidelines change every year	Academics	Medium
